id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
in-3ab58de01f8403d0,indeed,https://www.indeed.com/viewjob?jk=3ab58de01f8403d0,http://www.indeed.com/job/fractional-cfo-3ab58de01f8403d0,Fractional CFO,Owl Bookkeeping and CFO Services,"Minneapolis, MN, US",2025-12-19,"parttime, contract",direct_data,hourly,55.0,80.0,USD,False,,,,,"**Contract \| Fractional \| 5–10 hours per week**  
**Hourly or monthly retainer (DOE)**

**About Owl Bookkeeping \& CFO Services**

Owl Bookkeeping \& CFO Services is a growing outsourced accounting and advisory firm serving entrepreneurial businesses. Our team of bookkeepers, controllers, and fractional CFOs supports clients across multiple industries, providing clarity, structure, and forward\-looking financial insight.

As we scale, we are seeking an experienced **Fractional CFO Consultant** to work **with Owl directly** — not with our individual clients.

**About the Role (Important — Please Read Carefully)**

This is **not** a traditional fractional CFO role where you take on and manage clients.

Instead:

* **Owl is your client**
* You will work directly with the Owner and leadership team
* You will not own, service, or independently advise Owl’s clients
* This is an **internal consulting and advisory role**

The ideal candidate already operates their **own fractional CFO or advisory practice** and is looking to add a small, stable consulting engagement (approximately 5–10 hours per week).

**What You’ll Do**

You will act as a **senior financial thought partner** to Owl leadership by:

* Advising on **complex client situations**, escalations, and edge cases
* Helping diagnose and resolve **client bottlenecks and barriers**
* Supporting internal decision\-making around:
* Client financial strategy
* Service models and boundaries
* Risk management and best practices
* Serving as a sounding board for high\-level financial, operational, and advisory questions
* Providing guidance to Owl leadership (not direct supervision of staff)
* Helping strengthen Owl’s internal CFO framework and approach

**Time Commitment**

* Approximately **5–10 hours per week**
* Flexible scheduling
* Long\-term consulting relationship preferred

**Ideal Candidate Profile**

* Actively running a **fractional CFO, advisory, or consulting business**
* Comfortable working **behind the scenes** as a strategic advisor
* Collaborative, ethical, and highly professional
* Understands and respects **client ownership boundaries**
* Enjoys problem\-solving, mentoring, and systems thinking
* Values long\-term partnerships over short\-term client acquisition

**Qualifications**

* CPA (active or inactive) preferred
* 10\+ years of experience in finance, accounting, or advisory roles
* Proven experience advising **multiple businesses across industries**
* Strong background in:
* Financial strategy
* Cash flow management
* Forecasting and scenario planning
* Advisory conversations with business owners
* Excellent communication and judgment
* High integrity and discretion required

**Compensation**

* Hourly or monthly retainer
* Competitive and based on experience
* Structured as a **contractor (1099\)** relationship

Job Types: Part\-time, Contract

Pay: $55\.00 \- $80\.00 per hour

Benefits:

* 401(k)
* 401(k) matching
* Flexible schedule
* Paid time off
* Professional development assistance

Application Question(s):

* How many years of QuickBooks Online experience do you have?
* Will you still roll up your sleeves and perform controller level work?
* Are you wanting only part\-time fractional work?
* Are you willing to work in our co\-working offices sometimes?

Education:

* Master's (Preferred)

Experience:

* CFO: 10 years (Required)

Work Location: In person",,https://www.indeed.com/cmp/Owl-Bookkeeping-and-CFO-Services-1,,http://owlbookkeepingandcfo.com/,,,,,,,,,,
in-542a4a671583dda0,indeed,https://www.indeed.com/viewjob?jk=542a4a671583dda0,https://ascentcfo.applytojob.com/apply/285b553b547e630346537a7f79067d7d695f2c05100d3402790a257d3460791f7f4753/Fractional-CFO?sid=B47dfNQ7vgJGK6HMZis5IDz7NEqEaW3Q7wc&source=INDE&~,Fractional CFO,Ascent CFO Solutions,"Denver, CO, US",2025-12-18,"parttime, fulltime",direct_data,hourly,115.0,130.0,USD,True,,,,,"At **Ascent CFO Solution**s, we are a leading Fractional CFO services firm dedicated to providing strategic financial leadership and insights to startups and SMEs. Our mission is to empower businesses to achieve financial clarity and sustainable growth. As we continue to expand our services and client base, we're looking for leading **Chief Financial Officers** (CFOs) to join our dynamic team of fractional financial professionals. In this role, you will serve as a trusted advisor to our diverse portfolio of clients. Your work will be meaningful and exciting, supporting businesses that are going through transformation, growth, process improvement, fundraising, preparing for an exit, and/or looking to acquire other companies.  

  

**Job Description:**  

  

This is a hands\-on role for a stellar CFO that is entrepreneurial and enjoys working with companies in diverse industries. You will be the primary contact with your clients ensuring the highest level of client satisfaction with responsibility for timelines, accuracy, and completeness of deliverables. On some client engagements you will be leading a team of Accounting staff, and on others you may be providing only strategic advisory services.  

  

Our clients include cutting\-edge startups, scale\-ups, and private companies, in addition to VC\- and PE\-backed companies across a wide range of industries (Technology, SaaS, Professional Services, Construction, Manufacturing, eCommerce, Healthcare, CPG, FinTech, Real Estate, and more).  

  

**Can you picture yourself as a member of our team?**  

  

**Primary Responsibilities** for this role:* Work directly with CEOs and executive teams to develop and execute finance strategy
* Provide strategic business advice to clients
* Prepare and maintain financial models, rolling forecasts and cash\-flow forecasts
* Manage the budgetary process and analyze budget vs. actual variances
* Assist clients in fundraising and/or M\&A activity
* Managing Ascent CFO and/or client resources to oversee/complete the month\-end close and reporting packages
* Onboard clients which may include an assessment phase
* Establish and implement appropriate accounting processes and internal controls
* Identify and track key trends and metrics
* Develop and maintain executive dashboards and KPI monitoring and reporting
* Coordinate and manage the annual audit and tax return process
* Financial reporting to key Board of Directors members and shareholders

**The Ideal Candidate** has the following experience:* 15\-20 years' of accounting \& finance experience with several years in full time CFO positions
* Bachelor's Degree required, CPA license or MBA strongly preferred
* Experience as a strategic leader, most comfortable being the “right hand” to the CEO
* Experience working in a wide range of industries
* Considerable experience with building financial forecast and cash flow models
* Proven experience leading mergers \& acquisitions, including due diligence, valuation and integration
* Significant experience raising capital in the venture capital space
* Passion for energetic leadership in the finance and accounting organization
* Comfortable with being “hands\-on” in accounting and ERP systems including QBOnline, NetSuite, Intacct, and other accounting packages
* Proven experience working with fast\-growth companies from early stages to $50M in revenue
* Highly proficient in MS Excel, Google sheets is a plus

**Compensation:** $115\-130/hour based on experience  

  

**Location:** **Boulder/Denver** based preferred, Remote role with some in\-person meetings/events **Why Our Employees Choose Ascent CFO Solutions:**


* 2\-Time Winner of Inc. 5000 Fastest\-Growing Companies nationwide
* 3\-Time Winner of Built In's Best Places to Work
* Set your own schedule, choose the number of hours you want to work, generally between 25\-35\+ hours/week, and work remotely (with in\-person opportunities)
* Engage with a wide range of business matters across a variety of industries
* Connect with highly talented Ascent team members (CFOs, VPs Finance, Controllers, Accounting Managers, and Senior Accountants) who are ready and willing to collaborate and support you on projects
* Benefit from our strong 12\+ year reputation in delivering custom engagements with a high level of accuracy, responsiveness, and expertise
* Work directly with smart entrepreneurs and business leaders who view you as a trusted partner in their companies


**Benefits include:**


* Employee health, dental and vision insurance
* 401K match
* Quarterly stipend towards educational or professional development
* Technology stipend
* Paid sick time, holiday time \& volunteer time
* Bonus/commission eligibility
* Mentoring opportunities


**Ascent CFO Solutions is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills, and experiences within our workforce.**


HbKqpgm2d6",,https://www.indeed.com/cmp/Ascent-CFO-Solutions,,,,,,,,,,,,
in-7edf0c0c3e040dcd,indeed,https://www.indeed.com/viewjob?jk=7edf0c0c3e040dcd,http://www.indeed.com/job/chief-financial-officer-and-chief-operating-officer-7edf0c0c3e040dcd,Chief Financial Officer and Chief Operating Officer,Gas Lamp Design,"Dallas, TX, US",2025-12-18,"parttime, fulltime",,yearly,,,USD,True,,,,,"Chief Financial \& Operating Officer (CFO/COO)

**Location:** Dallas, TX (Hybrid Position)  
**Reports to:** Founder / Principal  
**Type:** Full\-time preferred; part\-time considered for the right candidate

About Gas Lamp Design

Gas Lamp Design is a growing interior design studio specializing in multifamily and boutique hospitality projects. We are design\-driven, detail\-oriented, and deeply invested in building a sustainable, scalable business that supports creative excellence. We are seeking a CFO/COO to serve as a long\-term strategic partner to leadership and help guide the firm through its next phase of growth.

Role Overview

The CFO/COO is a senior leadership role responsible for the financial health, operational efficiency, and long\-term strategic planning of the firm. This individual will be deeply embedded in the business and actively involved in day\-to\-day operations as well as high\-level strategy.

**This is not a fractional or advisory\-only role.** While we are open to a **part\-time arrangement for the right candidate**, we are seeking someone who is committed to the firm, understands our business intimately, and can grow with us over time.

Key Responsibilities: **Financial Leadership \& Strategy**

* Serve as a strategic advisor to the Founder/Principal on financial and operational decisions
* Develop and oversee firm\-wide financial strategy, including long\-term projections, cash flow planning, and growth scenarios
* Create and manage annual budgets, forecasts, and financial models
* Monitor firm profitability by project, client, and service type (design fees, procurement, etc.)
* Provide regular financial reporting and insights to leadership (monthly, quarterly, annual)

Accounting \& Compliance

* Oversee day\-to\-day accounting operations and manage the in\-house bookkeeper
* Ensure accurate and timely monthly close and financial statements
* Manage all tax planning, filings, and deadlines (federal, state, payroll, sales/use tax, etc.)
* Coordinate with external CPAs, tax advisors, and auditors as needed
* Maintain strong internal controls and compliance practices

Procurement \& Project Financials

* Oversee financial systems related to FF\&E procurement, including cash flow timing, vendor payments, and client billing
* Ensure proper tracking and reconciliation of procurement revenue, cost of goods, and margins
* Support project teams with fee structures, billing schedules, and financial performance tracking
* Improve systems for managing retainers, reimbursables, and phased billing

Operations \& Process Improvement

* Lead process improvement initiatives to increase efficiency across finance, operations, and project workflows
* Evaluate and optimize financial, project management, and procurement systems/tools
* Establish scalable processes that support growth while maintaining flexibility
* Partner with leadership to align operations with firm culture and design priorities

Business Growth \& Leadership

* Support strategic growth initiatives, including hiring, new service offerings, and geographic expansion
* Develop KPIs and dashboards to track firm performance
* Help shape firm policies related to contracts, pricing, risk management, and operations
* Act as a steady, trusted leader who brings clarity, accountability, and momentum

Qualifications

* CPA required
* 10\+ years of progressive financial and operational leadership experience
* Proven experience helping grow and scale a small business
* Prior experience in an architecture, interior design, or professional services firm strongly preferred
* Deep understanding of project\-based accounting and procurement workflows
* Strong financial modeling, budgeting, and forecasting skills
* Experience managing staff and external consultants
* Proactive, solutions\-oriented mindset with a high level of ownership
* Excellent communication skills and ability to partner with creative leadership

Why Join Gas Lamp Design

* Key leadership role with real influence over the firm’s future
* Close partnership with founder and leadership team
* Opportunity to build and refine systems, processes, and strategy
* Creative, collaborative environment with a strong design ethos
* Competitive compensation and benefits commensurate with experience

Job Types: Full\-time, Part\-time

Pay: From $100,000\.00 per year

Benefits:

* Dental insurance
* Health insurance
* Paid time off

Work Location: Hybrid remote in Dallas, TX 75214",,https://www.indeed.com/cmp/Gas-Lamp-Design,,,,,,,,,,,,
in-ca9e5c3c07af5998,indeed,https://www.indeed.com/viewjob?jk=ca9e5c3c07af5998,http://www.indeed.com/job/fractional-cfo-ca9e5c3c07af5998,Fractional CFO,BostonSpeaks,"Remote, US",2025-12-18,parttime,direct_data,monthly,1500.0,2000.0,USD,True,,,,sophie@bostonspeaks.com,"Dear Future CFO of BostonSpeaks,

Let’s be clear from the start.

This is not a traditional CFO role.

**BostonSpeaks** is looking for a **modern, heart\-centered Fractional CFO** who enjoys being part of a team and wants to grow *with* the company

At BostonSpeaks, we help leaders overcome public speaking anxiety, and we bring that same depth, honesty, and humanity into how we work together.

**We’re looking for someone who:**

* Values human connection as much as performance
* Resonates with a culture of openness, self\-awareness, and growth
* Believes numbers should create clarity, confidence, and freedom — not fear

**About the Role**

You’ll act as a strategic financial partner to our leadership team as BostonSpeaks continues to grow. Your role is to bring clarity, structure, and stability in a way that feels supportive, human, and empowering.

**You’ll enjoy this role if you:**

* Love translating numbers into **plain\-English decisions**
* Are energized by **small, purpose\-driven teams**
* Use modern tools and systems and have opinions about them
* Are comfortable challenging leadership with clarity and kindness
* Enjoy teaching leaders how to think financially, not just reporting numbers
* Want to lead and shape the finance function as the company evolves

**What You’ll Focus On**

* Cash flow, forecasting, and financial visibility
* Budgets aligned with company goals
* Scalable systems and automations (QuickBooks, Wise, Monday)
* Clear, simple financial processes that support sustainable growth

**Culture \& Fit**

Culture is not a side note at BostonSpeaks, it’s the foundation.

You’ll feel at home here if you:

* Believe growth starts from within and are willing to question your own assumptions
* Value authentic communication and real conversations
* Care deeply about the quality of the work *and* how it feels to do it
* Believe finance can be both **structured and heart\-centered**

How to Apply

If this resonates, we’d love to get to know you.  
Email **sophie@bostonspeaks.com** with:

A loom/sendspark/… video introducing yourself, telling us

* Why are you interested in working with BostonSpeaks?
* Your experience in finance and leadership roles
* Why do you think you would be a good cultural fit for our company?
* What are your expectation

Assume BostonSpeaks currently generates $1\.4M annual revenue with $280,000 profit. Our 1\-year goal is to reach $2\.1M annual revenue with a 30% profit margin. With only this information:

* What would be the first questions you would ask to understand our business financially?
* What areas would you focus on first in this role? (Top 3 priorities)
* (High\-level is fine; we’re evaluating your thinking, not precision.)

What Happens Next?

Once we review your message, we’ll reach out if we believe you’re a great fit for the role.Our process typically includes a short discovery call followed by a second interview with Hayleigh and Kit, our COO and CEO.

\-Team BostonSpeaks  
p.s. if you apply, please address it to Sophie who will be managing our conversations.

Job Type: Part\-time

Pay: $1,500\.00 \- $2,000\.00 per month

Expected hours: 10 – 20 per week

Work Location: Remote",,https://www.indeed.com/cmp/Bostonspeaks-1,,,,,,,,,,,,
in-a9eedc35b08b9ae5,indeed,https://www.indeed.com/viewjob?jk=a9eedc35b08b9ae5,http://www.indeed.com/job/fractional-chief-financial-officer-cfo-a9eedc35b08b9ae5,Fractional Chief Financial Officer (CFO),The Brown Group,"Oklahoma City, OK, US",2025-12-17,contract,direct_data,monthly,6000.0,10000.0,USD,False,,,,,"**Job Overview**

The Brown Group is a growing, multi\-entity organization operating across real estate, fitness, automotive, hospitality, and development projects. We are seeking an execution\-focused Fractional CFO to bring immediate financial structure, visibility, and accountability to the business.

This role is hands\-on and operational, not advisory only. The ideal candidate is comfortable stepping into a fast\-moving environment, cleaning up financials, and building repeatable systems.

Key Responsibilities

* Reconcile bank accounts across multiple entities
* Produce accurate P\&L, Balance Sheet, and cash flow reports
* Implement and manage a weekly cash flow reporting process
* Establish and enforce a monthly close schedule
* Oversee and assess existing accounting staff and workflows
* Recommend and assist in hiring bookkeepers or accounting clerks
* Ensure financial accuracy, controls, and consistency
* Prepare lender\-ready financial packages
* Support refinancing, credit facilities, and development financing
* Partner directly with the Founder \& CEO on financial strategy and decisions

Required Qualifications

* 10\+ years of finance or accounting leadership experience
* Previous Fractional CFO or senior Controller experience
* Strong background in multi\-entity accounting
* Real estate accounting experience required
* Proven experience cleaning up disorganized or incomplete books
* Proficient with QuickBooks or similar accounting systems
* Highly organized, deadline\-driven, and decisive

Preferred Experience

Founder\-led or entrepreneurial businesses

* Property management, development, or construction accounting
* Operating companies (fitness, automotive, hospitality, retail)
* Banking, lender reporting, and debt support

What This Role Is Not

* Not an advisory\-only position
* Not a passive oversight role
* Not a bookkeeping\-only position

We are seeking a leader who executes and delivers results quickly.

What Success Looks Like

* Timely, accurate, lender\-ready financial reporting
* Clear and consistent cash flow visibility
* A structured and accountable accounting function
* Reduced dependency on the Founder for financial oversight

Job Type: Contract

Pay: $6,000\.00 \- $10,000\.00 per month

Work Location: In person",,https://www.indeed.com/cmp/The-Brown-Group-2,,,,,,,,,,,,
in-ad405157ff5d458b,indeed,https://www.indeed.com/viewjob?jk=ad405157ff5d458b,https://nienhuis.bamboohr.com/careers/284?source=indeed&src=indeed&postedDate=2025-12-16,Fractional CFO/Controller (Small Business) Lansing Area,Nienhuis Financial Group,"Lansing, MI, US",2025-12-16,fulltime,,,,,,False,,,,,"**Nienhuis Financial Group** is a rapidly growing accounting firm committed to delivering excellence in fractional and managerial accounting services. Our client base includes private companies with between $1\-75M in revenue, varies in industry, and includes Not\-For\-Profit and For Profit. With a dedicated team and a strong focus on communication, accuracy and timeliness, we strive to exceed client expectations. As we continue to expand, we are seeking a skilled **Fractional CFO/Controller focused on small business** to build and maintain relationships with clients, provide financials, controller services and ensure compliance with accounting principles.

 **To be successful for this role, you will have:**  

* Excellent written and verbal communication skills
* Strong business acumen
* Extensive knowledge of general financial accounting and cost accounting
* Strong technical and inter\-personal leadership
* Ability to lead teams including coaching, delegation, and performance management
* Highly proficient with accounting software
 **Education and/or Experience**  

* BA in accounting, business administration, business management, or other related field
* 10\+ years accounting experience
* 2\+ years supervisory or project lead experience
  

**Preferred Education and/or Experience**  

* MBA or master’s in accounting, or other related field
* 2\+ years client management experience
 **Helpful Software Experience**  

Microsoft Outlook Email, Calendar, Teams, Excel, Multifactor Authentication; VPN/Terminal Server, QuickBooks Online, LastPass, Zoom, Canopy, OneDrive, Google Suite, Chrome, Adobe DC, VoIP/3CX, SafeSend, BambooHR, TSheets, Documo, Divvy, Bill.com, Fathom, Gusto.

  

**Certificates, Licenses, Registrations:** CPA preferred  

**Supervisory Responsibilities**: May or may not supervise a small team

  

**Full time:** Salaried, Exempt",,https://www.indeed.com/cmp/Nienhuis-Financial-Group,,,,,,,,,,,,
in-d1d22f5b03dfcde7,indeed,https://www.indeed.com/viewjob?jk=d1d22f5b03dfcde7,https://nienhuis.bamboohr.com/careers/298?source=indeed&src=indeed&postedDate=2025-12-16,Fractional CFO/Controller (Small Business) Grandville Area,Nienhuis Financial Group,"Grandville, MI, US",2025-12-16,fulltime,,,,,,False,,,,,"**Nienhuis Financial Group** is a rapidly growing accounting firm committed to delivering excellence in fractional and managerial accounting services. Our client base includes private companies with between $1\-75M in revenue, varies in industry, and includes Not\-For\-Profit and For Profit. With a dedicated team and a strong focus on communication, accuracy and timeliness, we strive to exceed client expectations. As we continue to expand, we are seeking a skilled **Fractional CFO/Controller focused on small business** to build and maintain relationships with clients, provide financials, controller services and ensure compliance with accounting principles. This position will manage a team of 3\-5 employees.

 **To be successful for this role, you will have:**  

* Excellent written and verbal communication skills
* Strong business acumen
* Extensive knowledge of general financial accounting and cost accounting
* Strong technical and inter\-personal leadership
* Ability to lead teams including coaching, delegation, and performance management
* Highly proficient with accounting software
 **Education and/or Experience**  

* BA in accounting, business administration, business management, or other related field
* 10\+ years accounting experience
* 2\+ years supervisory or project lead experience
  

**Preferred Education and/or Experience**  

* MBA or master’s in accounting, or other related field
* 2\+ years client management experience
 **Helpful Software Experience**  

Microsoft Outlook Email, Calendar, Teams, Excel, Multifactor Authentication; VPN/Terminal Server, QuickBooks Online, LastPass, Zoom, Canopy, OneDrive, Google Suite, Chrome, Adobe DC, VoIP/3CX, SafeSend, BambooHR, TSheets, Documo, Divvy, Bill.com, Fathom, Gusto.

  

**Certificates, Licenses, Registrations:** CPA preferred

  

**Supervisory Responsibilities**: May or may not supervise a small team


**Full time:** Salaried, Exempt",,https://www.indeed.com/cmp/Nienhuis-Financial-Group,,,,,,,,,,,,
in-38ee45da23357fdd,indeed,https://www.indeed.com/viewjob?jk=38ee45da23357fdd,https://nienhuis.bamboohr.com/careers/285?source=indeed&src=indeed&postedDate=2025-12-16,Fractional CFO/Controller (Small Business) Kalamazoo Area,Nienhuis Financial Group,"Kalamazoo, MI, US",2025-12-16,fulltime,,,,,,False,,,,,"**Nienhuis Financial Group** is a rapidly growing accounting firm committed to delivering excellence in fractional and managerial accounting services. Our client base includes private companies with between $1\-75M in revenue, varies in industry, and includes Not\-For\-Profit and For Profit. With a dedicated team and a strong focus on communication, accuracy and timeliness, we strive to exceed client expectations. As we continue to expand, we are seeking a skilled **Fractional CFO/Controller focused on small business** to build and maintain relationships with clients, provide financials, controller services and ensure compliance with accounting principles. This position will manage a team of 3\-5 employees.

 **To be successful for this role, you will have:**  

* Excellent written and verbal communication skills
* Strong business acumen
* Extensive knowledge of general financial accounting and cost accounting
* Strong technical and inter\-personal leadership
* Ability to lead teams including coaching, delegation, and performance management
* Highly proficient with accounting software
 **Education and/or Experience**  

* BA in accounting, business administration, business management, or other related field
* 10\+ years accounting experience

* 2\+ years supervisory or project lead experience

 **Preferred Education and/or Experience**  

* MBA or master’s in accounting, or other related field
* 2\+ years client management experience
 **Helpful Software Experience**  

Microsoft Outlook Email, Calendar, Teams, Excel, Multifactor Authentication; VPN/Terminal Server, QuickBooks Online, LastPass, Zoom, Canopy, OneDrive, Google Suite, Chrome, Adobe DC, VoIP/3CX, SafeSend, BambooHR, TSheets, Documo, Divvy, Bill.com, Fathom, Gusto.

  

**Certificates, Licenses, Registrations:** CPA preferred  

**Supervisory Responsibilities**: May or may not supervise a small team

  

**Full time:** Salaried, Exempt",,https://www.indeed.com/cmp/Nienhuis-Financial-Group,,,,,,,,,,,,
in-2801d3cea826c958,indeed,https://www.indeed.com/viewjob?jk=2801d3cea826c958,http://www.indeed.com/job/accounting-manager-2801d3cea826c958,Accounting Manager,Flanagan - Bilton LLC,"Chicago, IL, US",2025-12-16,fulltime,direct_data,yearly,85000.0,105000.0,USD,False,,,,,"**Job Overview**  
We are seeking a highly skilled and detail\-oriented **Accounting Manager** to oversee our organization’s financial operations. The ideal candidate will possess extensive experience in corporate accounting, with a strong understanding of GAAP, regulatory reporting, and financial analysis. This leadership role requires expertise in accounting software such as QuickBooks, and other ERP systems. The Accounting Manager will be responsible for managing financial reporting, ensuring compliance with regulatory standards, mentoring accounting staff, and supporting strategic financial planning to drive organizational success. This person will report to the Fractional CFO and Office Manager.

**Duties**

* Oversee the preparation of financial statements in accordance with GAAP and regulatory requirements
* Manage general ledger accounting, account reconciliation, and balance sheet reconciliation processes
* Supervise accounts payable and accounts receivable functions to ensure accuracy and timeliness
* Conduct cash flow analysis, bank reconciliations, and financial report interpretation for senior management
* Prepare detailed financial reports and assist in budgeting, forecasting, and financial analysis activities
* Lead internal audits
* Maintain accurate journal entries
* Mentor and develop junior accounting staff to enhance team performance and professional growth
* Support tax preparation activities and ensure adherence to tax laws and regulations
* Implement process improvements for efficiency in financial management tasks

**Experience**

* Bachelor’s degree in Accounting, Finance, or related field
* Minimum of 10 years of progressive experience in corporate or non\-profit accounting environments
* Extensive knowledge of GAAP, accrual accounting, technical accounting standards, and regulatory reporting requirements
* Proven excellence with financial software such as QuickBooks and other ERP systems preferred; proficiency in Microsoft Excel is essential
* Strong understanding of financial concepts including debits \& credits, journal entries, account analysis, and balance sheet reconciliation
* Demonstrated ability to mentor team members and lead complex projects effectively
* The successful candidate will possess excellent analytical skills combined with strong communication abilities to interpret complex financial data clearly. This role offers an opportunity to contribute significantly to organizational growth through sound financial management.

Pay: $85,000\.00 \- $105,000\.00 per year

Benefits:

* 401(k) 3% Match
* Health insurance

Work Location: In person",,https://www.indeed.com/cmp/Flanagan---Bilton-LLC,,,,,,,,,,,,
in-71693d5df651c843,indeed,https://www.indeed.com/viewjob?jk=71693d5df651c843,http://www.indeed.com/job/fractional-financial-controller-cfo-hospitality-71693d5df651c843,Fractional Financial Controller / CFO (Hospitality),Caracas Bakery,"Miami, FL, US",2025-12-16,"temporary, contract",direct_data,hourly,75.0,125.0,USD,True,,,,,"**Part\-Time / Fractional — Miami (Hybrid)**

*About the Company*

Caracas Bakery is a growing, multi\-location bakery and café group based in Miami. We operate several locations with additional openings planned in 2026\. We are founder\-led, brand\-driven, and at a stage where **financial discipline and profitability** are the top priorities.

We are looking for a **hospitality\-experienced financial leader** to bring structure, clarity, and accountability to our numbers and help make each location profitable on a monthly basis.

The Role

This is a **fractional/part\-time role** (10–20 hours per week). You will work directly with the founder and leadership team to clean up financial reporting, improve margins, and build systems that support profitable growth.

This is **not** a bookkeeping role and **not** a corporate CFO seat. We are looking for someone hands\-on, analytical, and comfortable working inside a fast\-moving hospitality operation.

Key Responsibilities

* Produce clean **monthly P\&Ls by location**
* Analyze food cost, labor cost, and prime cost
* Identify margin leaks and operational inefficiencies
* Support menu pricing and menu engineering decisions
* Build and maintain cash flow forecasts
* Define break\-even points per location
* Create simple weekly and monthly financial dashboards
* Partner with operations leadership to improve profitability
* Coordinate with external accountant and payroll providers
* Prepare financial insights to support expansion decisions

What Success Looks Like

* Clear understanding of profitability **per location**
* Improved EBITDA within the first 90 days
* Reliable, timely financial reporting
* Actionable insights that operations can execute
* Founder and leadership no longer guessing about numbers

Requirements

* 7\+ years in finance or accounting
* **Hospitality experience required** (restaurants, bakeries, cafés, or multi\-unit F\&B)
* Experience supporting **multi\-location operations**
* Strong understanding of labor models and food cost control
* Comfortable working with POS and accounting systems (Square, Toast, QuickBooks, Restaurant365, etc.)
* Experience as a Controller, Finance Director, or Fractional CFO
* Direct, practical, and comfortable giving honest feedback

Nice to Have

* Experience helping turn around underperforming locations
* Experience working with founder\-led businesses
* Background in menu engineering or cost optimization

Compensation

* Fractional engagement: **$75/hour to $125/hour**, depending on experience and time commitment
* Bonus potential tied to profitability improvement
* Flexible schedule

How to Apply

Please apply with:

* Resume
* Brief note explaining your **hospitality finance experience** and the types of businesses you’ve supported

Job Types: Contract, Temporary

Pay: $75\.00 \- $125\.00 per hour

Expected hours: 10 – 20 per week

Work Location: Hybrid remote in Miami, FL 33137",,https://www.indeed.com/cmp/Caracas-Bakery,,,,,,,,,,,,
